 Disk integrated flux for K0V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
============================================================
  477.000  3.971e+07  1.367e+07  1.531e+07  1.060e+06
  479.000  4.007e+07  1.437e+07  1.608e+07  1.174e+06
  481.000  4.072e+07  1.563e+07  1.751e+07  1.166e+06
  483.000  4.143e+07  1.585e+07  1.774e+07  1.253e+06
  485.000  3.991e+07  1.588e+07  1.776e+07  1.330e+06
  487.000  3.613e+07  1.464e+07  1.636e+07  1.416e+06
  489.000  3.882e+07  1.546e+07  1.727e+07  1.546e+06
  491.000  3.936e+07  1.569e+07  1.751e+07  1.632e+06
  493.000  3.745e+07  1.466e+07  1.634e+07  1.721e+06
  495.000  3.913e+07  1.487e+07  1.659e+07  1.644e+06
  497.000  3.929e+07  1.414e+07  1.582e+07  1.231e+06
  499.000  3.593e+07  1.278e+07  1.427e+07  1.338e+06
  501.000  3.339e+07  1.132e+07  1.263e+07  1.210e+06
  503.000  3.601e+07  1.244e+07  1.388e+07  1.333e+06
  505.000  3.470e+07  1.166e+07  1.300e+07  1.354e+06
  507.000  3.592e+07  1.166e+07  1.299e+07  1.419e+06
  509.000  3.423e+07  1.116e+07  1.242e+07  1.451e+06
  511.000  3.447e+07  1.132e+07  1.260e+07  1.506e+06
  513.000  3.336e+07  1.087e+07  1.208e+07  1.525e+06
  515.000  3.134e+07  1.018e+07  1.130e+07  1.505e+06
  517.000  2.532e+07  8.684e+06  9.626e+06  1.431e+06
  519.000  2.701e+07  9.318e+06  1.035e+07  1.371e+06
  521.000  3.231e+07  1.132e+07  1.259e+07  1.514e+06
  523.000  3.733e+07  1.546e+07  1.721e+07  1.965e+06
  525.000  4.019e+07  1.681e+07  1.874e+07  1.913e+06
  527.000  3.340e+07  1.369e+07  1.523e+07  1.865e+06
  529.000  3.999e+07  1.709e+07  1.903e+07  2.179e+06
  531.000  4.274e+07  1.861e+07  2.072e+07  2.337e+06
  533.000  3.660e+07  1.571e+07  1.746e+07  2.174e+06
  535.000  4.066e+07  1.746e+07  1.943e+07  2.357e+06
  537.000  3.997e+07  1.712e+07  1.906e+07  2.233e+06
  539.000  3.932e+07  1.684e+07  1.872e+07  2.362e+06
  541.000  3.812e+07  1.641e+07  1.823e+07  2.371e+06
  543.000  3.888e+07  1.655e+07  1.839e+07  2.379e+06
  545.000  4.012e+07  1.670e+07  1.859e+07  2.108e+06
  547.000  4.046e+07  1.713e+07  1.909e+07  1.984e+06
  549.000  4.036e+07  1.734e+07  1.931e+07  2.150e+06
  551.000  3.986e+07  1.675e+07  1.866e+07  2.023e+06
  553.000  4.112e+07  1.793e+07  1.997e+07  2.238e+06
  555.000  4.191e+07  1.839e+07  2.047e+07  2.371e+06
  557.000  4.020e+07  1.765e+07  1.963e+07  2.424e+06
  559.000  3.876e+07  1.652e+07  1.836e+07  2.309e+06
  561.000  4.079e+07  1.733e+07  1.933e+07  1.990e+06
  563.000  4.128e+07  1.795e+07  2.001e+07  2.060e+06
  565.000  4.166e+07  1.844e+07  2.055e+07  2.178e+06
  567.000  4.059e+07  1.795e+07  2.000e+07  2.174e+06
  569.000  4.130e+07  1.838e+07  2.046e+07  2.357e+06
  571.000  3.996e+07  1.776e+07  1.976e+07  2.399e+06
  573.000  4.308e+07  1.940e+07  2.158e+07  2.611e+06
  575.000  4.189e+07  1.921e+07  2.134e+07  2.770e+06
  577.000  4.225e+07  1.917e+07  2.133e+07  2.561e+06
  579.000  4.056e+07  1.844e+07  2.048e+07  2.744e+06
  581.000  4.207e+07  1.923e+07  2.137e+07  2.754e+06
  583.000  4.305e+07  1.976e+07  2.196e+07  2.774e+06
  585.000  4.166e+07  1.886e+07  2.097e+07  2.617e+06
  587.000  4.170e+07  1.848e+07  2.058e+07  2.343e+06
  589.000  3.252e+07  1.174e+07  1.302e+07  1.892e+06
  591.000  4.087e+07  1.742e+07  1.941e+07  2.133e+06
  593.000  4.137e+07  1.844e+07  2.053e+07  2.283e+06
  595.000  4.148e+07  1.859e+07  2.070e+07  2.352e+06
  597.000  4.183e+07  1.887e+07  2.101e+07  2.400e+06
  599.000  4.139e+07  1.884e+07  2.096e+07  2.538e+06
  601.000  4.062e+07  1.859e+07  2.067e+07  2.601e+06
  603.000  4.115e+07  1.911e+07  2.122e+07  2.789e+06
  605.000  4.190e+07  1.950e+07  2.166e+07  2.912e+06
  607.000  4.145e+07  1.940e+07  2.152e+07  3.058e+06
  609.000  4.026e+07  1.901e+07  2.107e+07  3.214e+06
  611.000  4.020e+07  1.892e+07  2.096e+07  3.190e+06
  613.000  3.789e+07  1.767e+07  1.955e+07  3.213e+06
  615.000  3.949e+07  1.877e+07  2.078e+07  3.335e+06
  617.000  3.676e+07  1.625e+07  1.803e+07  2.514e+06
  619.000  3.999e+07  1.832e+07  2.036e+07  2.563e+06
  621.000  3.991e+07  1.818e+07  2.021e+07  2.554e+06
  623.000  3.869e+07  1.742e+07  1.938e+07  2.402e+06
  625.000  3.768e+07  1.711e+07  1.901e+07  2.503e+06
  627.000  3.916e+07  1.793e+07  1.991e+07  2.666e+06
  629.000  3.962e+07  1.838e+07  2.041e+07  2.764e+06
  631.000  3.841e+07  1.801e+07  1.997e+07  2.939e+06
  633.000  3.866e+07  1.828e+07  2.026e+07  3.038e+06
  635.000  3.892e+07  1.852e+07  2.051e+07  3.153e+06
  637.000  3.873e+07  1.844e+07  2.042e+07  3.148e+06
  639.000  3.910e+07  1.874e+07  2.076e+07  3.233e+06
  641.000  3.810e+07  1.835e+07  2.030e+07  3.309e+06
  643.000  3.842e+07  1.823e+07  2.018e+07  3.154e+06
  645.000  3.782e+07  1.781e+07  1.971e+07  3.195e+06
  647.000  3.763e+07  1.787e+07  1.976e+07  3.346e+06
  649.000  3.710e+07  1.766e+07  1.954e+07  3.216e+06
  651.000  3.838e+07  1.851e+07  2.047e+07  3.409e+06
  653.000  3.864e+07  1.892e+07  2.091e+07  3.585e+06
  655.000  3.786e+07  1.851e+07  2.046e+07  3.520e+06
  657.000  3.624e+07  1.819e+07  2.009e+07  3.516e+06
  659.000  3.787e+07  1.856e+07  2.051e+07  3.542e+06
  661.000  3.825e+07  1.871e+07  2.068e+07  3.542e+06
  663.000  3.794e+07  1.857e+07  2.053e+07  3.450e+06
  665.000  3.786e+07  1.839e+07  2.034e+07  3.295e+06
  667.000  3.722e+07  1.799e+07  1.992e+07  3.191e+06
  669.000  3.789e+07  1.797e+07  1.992e+07  2.962e+06
  671.000  3.682e+07  1.752e+07  1.940e+07  3.020e+06
  673.000  3.768e+07  1.772e+07  1.965e+07  2.837e+06
  675.000  3.713e+07  1.750e+07  1.940e+07  2.901e+06
  677.000  3.729e+07  1.784e+07  1.976e+07  3.048e+06
  679.000  3.697e+07  1.749e+07  1.938e+07  2.938e+06
  681.000  3.677e+07  1.762e+07  1.951e+07  3.047e+06
  683.000  3.714e+07  1.794e+07  1.987e+07  3.151e+06
  685.000  3.617e+07  1.766e+07  1.954e+07  3.243e+06
  687.000  3.652e+07  1.779e+07  1.967e+07  3.278e+06
  689.000  3.665e+07  1.803e+07  1.992e+07  3.475e+06
  691.000  3.641e+07  1.815e+07  2.003e+07  3.704e+06
  693.000  3.617e+07  1.802e+07  1.989e+07  3.674e+06
  695.000  3.597e+07  1.812e+07  1.997e+07  3.909e+06
  697.000  3.605e+07  1.842e+07  2.027e+07  4.186e+06
  699.000  3.573e+07  1.823e+07  2.004e+07  4.304e+06
  701.000  3.495e+07  1.813e+07  1.991e+07  4.462e+06
  703.000  3.548e+07  1.842e+07  2.021e+07  4.624e+06
  705.000  3.562e+07  1.831e+07  2.011e+07  4.460e+06
  707.000  3.507e+07  1.735e+07  1.915e+07  3.467e+06
  709.000  3.492e+07  1.708e+07  1.885e+07  3.372e+06
  711.000  3.507e+07  1.712e+07  1.892e+07  3.295e+06
  713.000  3.435e+07  1.648e+07  1.822e+07  3.119e+06
  715.000  3.383e+07  1.610e+07  1.779e+07  3.093e+06
  717.000  3.429e+07  1.669e+07  1.845e+07  3.185e+06
  719.000  3.321e+07  1.651e+07  1.822e+07  3.397e+06
  721.000  3.373e+07  1.657e+07  1.829e+07  3.323e+06
  723.000  3.416e+07  1.748e+07  1.922e+07  4.143e+06
  725.000  3.408e+07  1.756e+07  1.927e+07  4.371e+06
  727.000  3.402e+07  1.781e+07  1.952e+07  4.603e+06
  729.000  3.318e+07  1.768e+07  1.936e+07  4.787e+06
