 Disk integrated flux for G2V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
=============================================================
  417.000  8.862e+07  2.849e+07  3.403e+07  2.742e+06
  419.000  8.357e+07  2.680e+07  3.197e+07  2.717e+06
  421.000  8.620e+07  2.788e+07  3.340e+07  2.176e+06
  423.000  8.255e+07  2.596e+07  3.127e+07  1.213e+06
  425.000  8.452e+07  2.844e+07  3.404e+07  2.319e+06
  427.000  7.802e+07  2.573e+07  3.074e+07  2.353e+06
  429.000  7.176e+07  2.376e+07  2.835e+07  2.297e+06
  431.000  5.870e+07  2.027e+07  2.406e+07  2.506e+06
  433.000  8.107e+07  2.993e+07  3.554e+07  3.682e+06
  435.000  7.674e+07  2.961e+07  3.509e+07  3.951e+06
  437.000  8.965e+07  3.340e+07  3.963e+07  4.256e+06
  439.000  8.203e+07  2.894e+07  3.442e+07  3.375e+06
  441.000  8.852e+07  3.151e+07  3.749e+07  3.597e+06
  443.000  9.488e+07  3.506e+07  4.177e+07  3.735e+06
  445.000  9.453e+07  3.531e+07  4.203e+07  3.938e+06
  447.000  9.920e+07  3.789e+07  4.504e+07  4.486e+06
  449.000  9.983e+07  3.866e+07  4.594e+07  4.657e+06
  451.000  1.096e+08  4.408e+07  5.233e+07  5.524e+06
  453.000  9.913e+07  3.830e+07  4.558e+07  4.322e+06
  455.000  1.027e+08  4.079e+07  4.846e+07  4.969e+06
  457.000  1.080e+08  4.335e+07  5.143e+07  5.551e+06
  459.000  1.022e+08  4.104e+07  4.878e+07  4.850e+06
  461.000  1.043e+08  4.197e+07  4.985e+07  5.158e+06
  463.000  1.026e+08  4.144e+07  4.923e+07  5.012e+06
  465.000  1.035e+08  4.155e+07  4.941e+07  4.784e+06
  467.000  1.057e+08  4.322e+07  5.135e+07  5.215e+06
  469.000  1.036e+08  4.235e+07  5.033e+07  5.001e+06
  471.000  9.959e+07  4.048e+07  4.812e+07  4.746e+06
  473.000  1.042e+08  4.206e+07  5.006e+07  4.657e+06
  475.000  1.056e+08  4.269e+07  5.081e+07  4.721e+06
  477.000  1.055e+08  4.212e+07  5.037e+07  3.552e+06
  479.000  1.046e+08  4.224e+07  5.042e+07  4.028e+06
  481.000  1.027e+08  4.230e+07  5.038e+07  4.454e+06
  483.000  1.029e+08  4.266e+07  5.077e+07  4.656e+06
  485.000  9.242e+07  3.939e+07  4.673e+07  4.915e+06
  487.000  8.163e+07  3.525e+07  4.173e+07  4.814e+06
  489.000  9.633e+07  3.996e+07  4.738e+07  5.212e+06
  491.000  9.829e+07  4.086e+07  4.844e+07  5.363e+06
  493.000  9.644e+07  3.940e+07  4.671e+07  5.170e+06
  495.000  1.005e+08  4.117e+07  4.890e+07  4.979e+06
  497.000  1.012e+08  4.106e+07  4.901e+07  3.867e+06
  499.000  9.469e+07  3.790e+07  4.518e+07  3.805e+06
  501.000  9.065e+07  3.550e+07  4.242e+07  3.150e+06
  503.000  9.560e+07  3.804e+07  4.539e+07  3.622e+06
  505.000  9.522e+07  3.718e+07  4.438e+07  3.487e+06
  507.000  9.894e+07  3.864e+07  4.615e+07  3.530e+06
  509.000  9.550e+07  3.694e+07  4.409e+07  3.482e+06
  511.000  9.647e+07  3.732e+07  4.452e+07  3.624e+06
  513.000  9.412e+07  3.621e+07  4.319e+07  3.529e+06
